,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603506.SH,20200514,22.6,22.8,22.03,22.68,22.48,0.2,0.8897,19867.35,44523.893
1,603530.SH,20200514,35.74,36.2,32.2,34.38,34.68,-0.3,-0.8651,152021.4,521986.393
2,603536.SH,20200514,15.26,15.26,14.7,14.77,15.49,-0.72,-4.6482,136421.45,203503.537
3,603578.SH,20200514,21.07,21.4,20.93,21.14,21.2,-0.06,-0.283,11891.0,25219.198
4,603589.SH,20200514,43.98,46.2,43.52,45.82,44.05,1.77,4.0182,139661.02,632612.093
5,603506.SH,20200513,21.73,22.49,21.24,22.48,21.56,0.92,4.2672,22575.41,49810.984
6,603530.SH,20200513,33.32,36.85,33.32,34.68,33.51,1.17,3.4915,159529.14,569845.649
7,603536.SH,20200513,14.72,15.93,14.58,15.49,14.81,0.68,4.5915,236845.69,360241.639
8,603578.SH,20200513,20.86,21.2,20.66,21.2,20.76,0.44,2.1195,14077.9,29659.904
9,603589.SH,20200513,42.4,44.14,42.0,44.05,42.53,1.52,3.5739,94851.32,413191.821
10,603506.SH,20200512,21.65,21.87,21.21,21.56,21.73,-0.17,-0.7823,14063.69,30247.52
11,603530.SH,20200512,32.68,33.51,31.56,33.51,30.46,3.05,10.0131,146372.78,479175.878
12,603536.SH,20200512,13.78,15.12,13.68,14.81,13.77,1.04,7.5527,187882.62,276652.408
13,603578.SH,20200512,20.85,20.96,20.57,20.76,20.91,-0.15,-0.7174,6561.0,13616.028
14,603589.SH,20200512,43.29,43.87,42.3,42.53,43.34,-0.81,-1.8689,85622.26,367515.033
15,603506.SH,20200511,21.92,21.92,21.16,21.73,21.66,0.07,0.3232,15843.3,34118.307
16,603530.SH,20200511,28.03,30.46,28.01,30.46,27.69,2.77,10.0036,83012.24,245429.372
17,603536.SH,20200511,14.18,14.23,13.6,13.77,14.15,-0.38,-2.6855,74012.69,102310.151
18,603578.SH,20200511,21.22,21.25,20.78,20.91,21.0,-0.09,-0.4286,8860.9,18575.128
19,603589.SH,20200511,42.49,43.74,42.36,43.34,42.48,0.86,2.0245,93350.95,402916.875
20,603506.SH,20200508,21.47,21.97,21.02,21.66,21.45,0.21,0.979,24142.63,52024.948
21,603530.SH,20200508,29.58,30.98,27.5,27.69,30.44,-2.75,-9.0342,169515.32,493020.374
22,603536.SH,20200508,14.0,14.44,13.88,14.15,14.5,-0.35,-2.4138,92073.14,130126.676
23,603578.SH,20200508,20.97,21.28,20.8,21.0,20.86,0.14,0.6711,12932.78,27241.595
24,603589.SH,20200508,41.39,42.97,41.11,42.48,41.45,1.03,2.4849,111903.05,472879.008
25,603506.SH,20200507,20.3,22.0,20.3,21.45,20.36,1.09,5.3536,31556.08,67441.64
26,603530.SH,20200507,28.47,31.74,28.47,30.44,28.9,1.54,5.3287,168520.06,510451.149
27,603536.SH,20200507,13.91,14.95,13.61,14.5,13.81,0.69,4.9964,119136.77,171699.817
28,603578.SH,20200507,20.6,21.48,20.6,20.86,20.78,0.08,0.385,16621.78,35101.433
29,603589.SH,20200507,40.9,41.52,40.22,41.45,40.83,0.62,1.5185,84666.24,346435.948
30,603506.SH,20200506,19.9,20.51,19.63,20.36,20.0,0.36,1.8,16752.41,33542.38
31,603530.SH,20200506,27.49,28.9,25.21,28.9,26.27,2.63,10.0114,145869.97,405411.33
32,603536.SH,20200506,13.25,13.85,13.11,13.81,13.34,0.47,3.5232,67411.4,91125.428
