,exchange,cal_date,is_open
0,SSE,20190515,1
1,SSE,20190516,1
2,SSE,20190517,1
3,SSE,20190518,0
4,SSE,20190519,0
5,SSE,20190520,1
6,SSE,20190521,1
7,SSE,20190522,1
8,SSE,20190523,1
9,SSE,20190524,1
10,SSE,20190525,0
11,SSE,20190526,0
12,SSE,20190527,1
13,SSE,20190528,1
14,SSE,20190529,1
15,SSE,20190530,1
16,SSE,20190531,1
17,SSE,20190601,0
18,SSE,20190602,0
19,SSE,20190603,1
20,SSE,20190604,1
21,SSE,20190605,1
22,SSE,20190606,1
23,SSE,20190607,0
24,SSE,20190608,0
25,SSE,20190609,0
26,SSE,20190610,1
27,SSE,20190611,1
28,SSE,20190612,1
29,SSE,20190613,1
30,SSE,20190614,1
31,SSE,20190615,0
32,SSE,20190616,0
33,SSE,20190617,1
34,SSE,20190618,1
35,SSE,20190619,1
36,SSE,20190620,1
37,SSE,20190621,1
38,SSE,20190622,0
39,SSE,20190623,0
40,SSE,20190624,1
41,SSE,20190625,1
42,SSE,20190626,1
43,SSE,20190627,1
44,SSE,20190628,1
45,SSE,20190629,0
46,SSE,20190630,0
47,SSE,20190701,1
48,SSE,20190702,1
49,SSE,20190703,1
50,SSE,20190704,1
51,SSE,20190705,1
52,SSE,20190706,0
53,SSE,20190707,0
54,SSE,20190708,1
55,SSE,20190709,1
56,SSE,20190710,1
57,SSE,20190711,1
58,SSE,20190712,1
59,SSE,20190713,0
60,SSE,20190714,0
61,SSE,20190715,1
62,SSE,20190716,1
63,SSE,20190717,1
64,SSE,20190718,1
65,SSE,20190719,1
66,SSE,20190720,0
67,SSE,20190721,0
68,SSE,20190722,1
69,SSE,20190723,1
70,SSE,20190724,1
71,SSE,20190725,1
72,SSE,20190726,1
73,SSE,20190727,0
74,SSE,20190728,0
75,SSE,20190729,1
76,SSE,20190730,1
77,SSE,20190731,1
78,SSE,20190801,1
79,SSE,20190802,1
80,SSE,20190803,0
81,SSE,20190804,0
82,SSE,20190805,1
83,SSE,20190806,1
84,SSE,20190807,1
85,SSE,20190808,1
86,SSE,20190809,1
87,SSE,20190810,0
88,SSE,20190811,0
89,SSE,20190812,1
90,SSE,20190813,1
91,SSE,20190814,1
92,SSE,20190815,1
93,SSE,20190816,1
94,SSE,20190817,0
95,SSE,20190818,0
96,SSE,20190819,1
97,SSE,20190820,1
98,SSE,20190821,1
99,SSE,20190822,1
100,SSE,20190823,1
101,SSE,20190824,0
102,SSE,20190825,0
103,SSE,20190826,1
104,SSE,20190827,1
105,SSE,20190828,1
106,SSE,20190829,1
107,SSE,20190830,1
108,SSE,20190831,0
109,SSE,20190901,0
110,SSE,20190902,1
111,SSE,20190903,1
112,SSE,20190904,1
113,SSE,20190905,1
114,SSE,20190906,1
115,SSE,20190907,0
116,SSE,20190908,0
117,SSE,20190909,1
118,SSE,20190910,1
119,SSE,20190911,1
120,SSE,20190912,1
121,SSE,20190913,0
122,SSE,20190914,0
123,SSE,20190915,0
124,SSE,20190916,1
125,SSE,20190917,1
126,SSE,20190918,1
127,SSE,20190919,1
128,SSE,20190920,1
129,SSE,20190921,0
130,SSE,20190922,0
131,SSE,20190923,1
132,SSE,20190924,1
133,SSE,20190925,1
134,SSE,20190926,1
135,SSE,20190927,1
136,SSE,20190928,0
137,SSE,20190929,0
138,SSE,20190930,1
139,SSE,20191001,0
140,SSE,20191002,0
141,SSE,20191003,0
142,SSE,20191004,0
143,SSE,20191005,0
144,SSE,20191006,0
145,SSE,20191007,0
146,SSE,20191008,1
147,SSE,20191009,1
